,Brand,Avg Rating,Total Comment,Seller Rating,Notebook Type,Memory Speed,Bluetooth,Weight,Touch Screen,Screen Size,GPU Type,GPU,CPU Generation,CPU Type,OS,Max CPU Speed,Screen Resolution,Finger Print,RAM,RAM Type,HDD,SSD,Charging Time,CPU Speed,Price
54,Lenovo,4.3,10,10,Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,1.6 GHz,8.999 TL
55,Asus,4.8,17,,Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,4.Nesil,AMD Ryzen 7,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,,2.9 GHz,17.899 TL
56,HP,4.7,3,"9,7",Oyun Bilgisayarlarý,4800 MHz,Var,2 - 4 kg,Yok,"16,1 inç",Harici Ekran Kartý,GDDR6,12.Nesil,Intel Core i7,Yok (Free Dos),4.7 GHz,1920 x 1080,Yok,16 GB,DDR5,Yok,512 GB,,3.5 GHz,19.999 TL
57,HP,4.7,36,"9,7",Notebook,4800 MHz,Var,2 - 4 kg,Yok,"16,1 inç",Harici Ekran Kartý,GDDR6,12.Nesil,Intel Core i5,Yok (Free Dos),4.5 GHz,1921 x 1080,Yok,8 GB,DDR5,Yok,512 GB,,3.3 GHz,16.499 TL
58,Lenovo,4.8,147,10,Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,5.Nesil,AMD Ryzen 5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,3.3 GHz,15.399 TL
59,Lenovo,4.8,17,10,Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i7,Yok (Free Dos),4.8 GHz,1920 x 1080,Yok,16 GB,DDR4,1 TB,256 GB,6 Saat ve Üstü,3.3 GHz,18.799 TL
60,Apple,4.9,369,"9,8",Notebook,Belirtilmemiþ,Var,1 - 2 kg,Belirtilmemiþ,13 inç,Belirtilmemiþ,Belirtilmemiþ,Yok,Apple M1,macOS,Yok,2560 x 1600,Var,8 GB,Belirtilmemiþ,Yok,256 GB,,Belirtilmemiþ,20.384 TL
61,Casper,4.6,102,,Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i7,Windows 11 Home,4.6 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,500 GB,,1.9 GHz,18.498 TL
62,MSI,4.5,64,09,Oyun Bilgisayarlarý,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i5,Yok (Free Dos),4.5 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,,2.7 GHz,14.690 TL
63,Asus,5.0,1,"9,3",Notebook,2400 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,3.Nesil,AMD Ryzen 3,Windows 11 Home,3.5 GHz,1366 x 768,Yok,4 GB,DDR4,256 GB,256 GB,4 - 6 Saat,2.60 GHz,5.279 TL
64,Asus,5.0,3,"9,9",Notebook,2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i3,Yok (Free Dos),4.1 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,2.1 GHz,6.199 TL
65,MSI,4.6,19,"9,9",Oyun Bilgisayarlarý,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i7,Yok (Free Dos),4.6 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,,3.5 GHz,17.555 TL
66,HP,5.0,3,10,Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i5,Windows 10 Home,4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,3.1 GHz,13.998 TL
67,Asus,5.0,4,"9,8",Notebook,2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,10.Nesil,Intel Core i5,Yok (Free Dos),3.5 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,,1 GHz,11.999 TL
68,Dell,5.0,9,"9,9",Notebook,2400 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,GDDR5,Ryzen,AMD Ryzen 3,Ubuntu,3.5 GHz,1920 x 1080,Yok,4 GB,DDR4,Yok,256 GB,,2.6 GHz,4.999 TL
69,Acer,4.6,45,10,Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"17,3 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i5,Yok (Free Dos),4.5 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,,2.7 GHz,25.988 TL
70,Asus,4.8,63,"9,9",Oyun Bilgisayarlarý,2933 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i5,Yok (Free Dos),4.5 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,,2.7 GHz,14.999 TL
71,Asus,4.8,49,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 5,Yok (Free Dos),4 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,,2.1 GHz,9.499 TL
72,MSI,4.7,51,10,Oyun Bilgisayarlarý,2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,5.Nesil,AMD Ryzen 7,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,1 TB,,3.3 GHz,17.896 TL
73,Acer,4.5,89,"9,8",Notebook,Belirtilmemiþ,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Yok,Intel Celeron,Yok (Free Dos),4 GHz,1920 x 1080,Yok,4 GB,DDR4,Yok,256 GB,4 - 6 Saat,1.10 GHz,3.499 TL
74,I-Life,4.3,48,10,Notebook,1600 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,6.Nesil,Intel Core i5,Windows 10 Home,3.1 GHz,1920 x 1080,Yok,4 GB,DDR3,Yok,256 GB,,2.7 GHz,4.299 TL
75,HP,4.8,9,"9,9",Notebook,2400 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,5.Nesil,AMD Ryzen 3,Windows 10 Home,3.8 GHz,1920 x 1080,Yok,4 GB,DDR4,Yok,256 GB,,2.6 GHz,5.499 TL
76,Asus,4.9,42,"9,8",Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,Ryzen,AMD Ryzen 7,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,,4.2 GHz,17.189 TL
77,MSI,4.7,55,09,Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"17,3 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i7,Windows 11 Home,4.6 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,1 TB,,2.3 GHz,31.610 TL
78,MSI,4.8,33,10,Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i7,Yok (Free Dos),4.1 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,,2.3 GHz,22.989 TL
79,HP,4.6,7,"9,2",Notebook,2400 MHz,Belirtilmemiþ,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Belirtilmemiþ,1.Nesil,Intel Celeron,Windows 10 Home,1.1 GHz,1366 x 768,Yok,4 GB,DDR4,Yok,256 GB,,1.1 GHz,4.121 TL
80,Lenovo,4.6,30,"9,8",Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i3,Windows 11 Home,4.1 GHz,1920 x 1080,Yok,4 GB,DDR4,Yok,256 GB,6 Saat ve Üstü,4.1 GHz,5.899 TL
81,Casper,,,10,Notebook,2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,GDDR4,10. Nesil,Core i5 10210U,Windows 10 Home,4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,512 GB,240 GB,,1.6 GHz,7.749 TL
82,Lenovo,4.7,44,"9,9",Notebook,3200 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 5,Yok (Free Dos),4 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,,2.1 GHz,8.999 TL
83,Casper,4.4,139,10,Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,GDDR5,11.Nesil,Intel Core i7,Yok (Free Dos),4.7 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,500 GB,,2.8 GHz,10.949 TL
