,Brand,Avg Rating,Total Comment,Seller Rating,Notebook Type,Memory Speed,Bluetooth,Weight,Touch Screen,Screen Size,GPU Type,GPU,CPU Generation,CPU Type,OS,Max CPU Speed,Screen Resolution,Finger Print,RAM,RAM Type,HDD,SSD,Charging Time,CPU Speed,Price
1051,Fujitsu,,,"9,8",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Windows 10 Home,3.6 GHz,1920 x 1080,Yok,32 GB,DDR4,Yok,1 TB,,1 GHz,12.674 TL
1052,Fujitsu,,,"9,8",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Windows 10 Home,3.6 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,,1 GHz,10.064 TL
1053,Huawei,,,"9,8",Notebook,3200 MHz,Var,Belirtilmemiþ,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 11 Pro,4.2 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,1 TB,,2.4 GHz,12.500 TL
1054,Lenovo,,,"9,9",Notebook,2400 MHz,Var,1 - 2 kg,Yok,"14,1 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 3,Windows 11 Home,3.5 GHz,1920 x 1080,Belirtilmemiþ,12 GB,DDR4,1 TB,1 TB,3 Saat ve Altý,3 GHz,10.453 TL
1055,Lenovo,,,"9,9",Notebook,2666 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 3,Windows 10 Home,3.5 GHz,1920 x 1080,Yok,12 GB,DDR4,1 TB,512 GB,,2.66 GHz,10.684 TL
1056,Dell,,,"9,9",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,1 TB,,2.40 GHz,15.999 TL
1057,Lenovo,,,"9,8",Oyun Bilgisayarlarý,2933 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,10.Nesil,Intel Core i5,Yok (Free Dos),4.5 GHz,1920 x 1080,Yok,32 GB,DDR4,1 TB,1 TB,,2.5 GHz,19.895 TL
1058,Lenovo,,,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 5,Windows 10 Pro,4.0 GHz,1920 x 1080,Var,16 GB,DDR4,Yok,1 TB,,4 GHz,15.599 TL
1059,Lenovo,,,"9,8",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 7,Yok (Free Dos),4.1 GHz,1920 x 1080,Var,24 GB,DDR4,Yok,2 TB,6 Saat ve Üstü,2.00 GHz,29.990 TL
1060,Lenovo,,,"9,8",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 5,Yok (Free Dos),4.0 GHz,1920 x 1080,Var,16 GB,DDR4,Yok,512 GB,,4 GHz,15.219 TL
1061,Lenovo,,,"9,8",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 7,Yok (Free Dos),4.1 GHz,1920 x 1080,Var,24 GB,DDR4,Yok,1 TB,6 Saat ve Üstü,2.00 GHz,25.463 TL
1062,Lenovo,,,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 5,Windows 10 Pro,4.0 GHz,1920 x 1080,Var,12 GB,DDR4,Yok,1 TB,,4 GHz,15.399 TL
1063,Lenovo,,,"9,8",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 7,Yok (Free Dos),4.1 GHz,1920 x 1080,Var,16 GB,DDR4,Yok,256 GB,6 Saat ve Üstü,2.00 GHz,22.715 TL
1064,Lenovo,,,"9,8",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 7,Windows 10 Pro,4.1 GHz,1920 x 1080,Var,12 GB,DDR4,Yok,1 TB,6 Saat ve Üstü,2.00 GHz,25.948 TL
1065,Lenovo,,,"9,8",Notebook,2933 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i7,Yok (Free Dos),4.7 GHz,1920 x 1080,Var,16 GB,DDR4,Yok,1 TB,,2.80 GHz,29.653 TL
1066,Lenovo,,,"9,8",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 7,Windows 10 Pro,4.1 GHz,1920 x 1080,Var,40 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,2.00 GHz,28.858 TL
1067,HP,1.0,2,"9,8",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i3,Windows 10 Pro,4.1 GHz,1366 x 768,Yok,16 GB,DDR4,Yok,256 GB,,1.70 GHz,10.835 TL
1068,Asus,,,,Ýkisi Bir Arada,3200 MHz,Var,1 - 2 kg,Var,14 inç,Dahili Ekran Kartý,Onboard,Yok,Intel Core i7,Yok (Free Dos),5 GHz,2560 x 1600,Var,8 GB,DDR4,Yok,512 GB,,2.9 GHz,41.999 TL
1069,Lenovo,,,,Notebook,2666 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,Yok,AMD Athlon Gold,Yok (Free Dos),3.3 GHz,1366 x 768,Yok,8 GB,DDR4,1 TB,512 GB,,2.4 GHz,7.899 TL
1070,Dell,,,"9,8",Notebook,2933 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i7,Windows 10 Home,4.9 GHz,1920 x 1080,Yok,32 GB,DDR4,Yok,32 GB,,1.80 GHz,18.340 TL
1071,Lenovo,,,"9,8",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 5,Windows 10 Pro,3.7 GHz,1920 x 1080,Yok,12 GB,DDR4,Yok,512 GB,3 Saat ve Altý,2.1 GHz,12.375 TL
1072,HP,,,"9,6",Notebook,2666 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 5,Windows 10 Pro,3.7 GHz,1920 x 1080,Yok,12 GB,DDR4,Yok,512 GB,3 Saat ve Altý,2.1 GHz,12.470 TL
1073,HP,,,"9,6",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i3,Windows 10 Pro,3.7 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,,2.00 GHz,11.395 TL
1074,Lenovo,,,"9,8",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 7,Windows 10 Pro,4.3 GHz,1920 x 1080,Var,24 GB,DDR4,Yok,256 GB,,1.80 GHz,17.399 TL
1075,Lenovo,,,"9,8",Notebook,2933 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i7,Yok (Free Dos),4.7 GHz,1920 x 1080,Var,16 GB,DDR4,Yok,512 GB,,2.80 GHz,28.170 TL
1076,Dell,,,9,Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,Onboard,11.Nesil,Intel Core i7,Windows 10 Pro,4.8 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,4 - 6 Saat,3 GHz,49.999 TL
1077,HP,3.6,13,"9,4",Notebook,2400 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 3,Windows 10 Home,3.5 GHz,1366 x 768,Yok,4 GB,DDR4,Yok,256 GB,4 - 6 Saat,2.6 GHz,6.450 TL
1078,HP,,,"9,8",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 3,Windows 10 Home,3.5 GHz,1366 x 768,Yok,12 GB,DDR4,Yok,512 GB,4 - 6 Saat,2.6 GHz,9.625 TL
1079,Lenovo,,,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i7,Yok (Free Dos),4.7 GHz,1920 x 1080,Var,32 GB,DDR4,Yok,500 GB,3 Saat ve Altý,2.8 GHz,31.876 TL
1080,Casper,,,10,Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i3,Yok (Free Dos),4.1 GHz,1920 x 1080,Yok,4 GB,DDR4,Yok,120 GB,,3 GHz,9.399 TL
1081,Casper,,,10,Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 11 Home,4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,500 GB,,2.4 GHz,13.399 TL
1082,Fujitsu,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Yok (Free Dos),3.6 GHz,1920 x 1080,Yok,12 GB,DDR4,Yok,1 TB,4 - 6 Saat,1 GHz,10.612 TL
1083,Fujitsu,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Windows 10 Pro,3.6 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,4 - 6 Saat,1 GHz,9.859 TL
1084,Asus,,,9,Notebook,3200 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i7,Yok (Free Dos),4.7 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,2.8 GHz,29.999 TL
1085,Lenovo,,,"9,7",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Windows 10 Home,4.2 GHz,1920 x 1080,Var,32 GB,DDR4,1 TB,512 GB,4 - 6 Saat,1.6 GHz,21.513 TL
1086,Lenovo,,,"9,7",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Var,32 GB,DDR4,Yok,256 GB,4 - 6 Saat,1.6 GHz,18.072 TL
1087,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 5,Windows 10 Pro,4 GHz,1920 x 1080,Var,24 GB,DDR4,Yok,512 GB,4 - 6 Saat,2.3 GHz,16.395 TL
1088,Lenovo,,,"9,7",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,2 TB,4 - 6 Saat,1.6 GHz,21.579 TL
1089,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Home,4.2 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,1 TB,4 - 6 Saat,2.4 GHz,17.879 TL
1090,Asus,,,"9,7",Notebook,2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i3,Windows 10 Pro,4.2 GHz,1920 x 1080,Yok,20 GB,DDR4,Yok,512 GB,4 - 6 Saat,2.1 GHz,10.169 TL
1091,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Home,4.2 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,1 TB,3 Saat ve Altý,2.4 GHz,18.189 TL
1092,Lenovo,,,"9,7",Notebook,3200 MHz,Var,Belirtilmemiþ,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i7,Windows 10 Home,4.7 GHz,1920 x 1080,Yok,32 GB,DDR4,Yok,512 GB,,2.8 GHz,26.808 TL
1093,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Var,32 GB,DDR4,Yok,512 GB,4 - 6 Saat,2.4 GHz,21.956 TL
1094,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,256 GB,4 - 6 Saat,2.4 GHz,17.060 TL
1095,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,1 TB,3 Saat ve Altý,2.4 GHz,18.721 TL
1096,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Var,24 GB,DDR4,Yok,1 TB,4 - 6 Saat,2.4 GHz,19.718 TL
1097,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1946 x 1080,Var,8 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,2.4 GHz,20.538 TL
1098,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Home,4.2 GHz,1920 x 1080,Var,16 GB,DDR4,Yok,512 GB,4 - 6 Saat,2.4 GHz,19.297 TL
1099,Asus,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i3,Yok (Free Dos),4.1 GHz,1366 x 768,Var,8 GB,DDR4,Yok,256 GB,6 Saat ve Üstü,3 GHz,15.952 TL
1100,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i7,Windows 10 Home,4.7 GHz,1920 x 1080,Var,16 GB,DDR4,Yok,1 TB,3 Saat ve Altý,2.8 GHz,25.700 TL
1101,Lenovo,,,"9,7",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Home,4.2 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,1 TB,4 - 6 Saat,2.4 GHz,18.278 TL
1102,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Var,32 GB,DDR4,Yok,1 TB,3 Saat ve Altý,2.4 GHz,20.782 TL
1103,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i7,Yok (Free Dos),4.7 GHz,1920 x 1080,Var,16 GB,DDR4,Yok,2 TB,3 Saat ve Altý,2.8 GHz,24.925 TL
1104,Asus,,,"9,6",Notebook,Belirtilmemiþ,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,10.Nesil,Intel Core i5,Windows 10 Pro,3.6 GHz,1920 x 1080,Yok,20 GB,DDR4,Yok,1 TB,,1.2 GHz,14.769 TL
1105,Asus,,,"9,9",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,10.Nesil,Intel Core i5,Windows 10 Pro,3.6 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,1 TB,4 - 6 Saat,1.1 GHz,14.281 TL
1106,Asus,3.0,1,"9,6",Notebook,Belirtilmemiþ,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,10.Nesil,Intel Core i5,Windows 10 Home,3.6 GHz,1920 x 1080,Yok,20 GB,DDR4,Yok,512 GB,,1.2 GHz,13.470 TL
1107,Lenovo,,,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Windows 11 Home,4.2 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,3 Saat ve Altý,1.60 GHz,16.943 TL
1108,Lenovo,,,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Windows 11 Home,4.2 GHz,1920 x 1080,Yok,32 GB,DDR4,Yok,2 TB,3 Saat ve Altý,1.60 GHz,21.353 TL
1109,Lenovo,,,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Windows 11 Home,4.2 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,250 GB,3 Saat ve Altý,1.60 GHz,16.363 TL
1110,Lenovo,,,"9,9",Notebook,3200 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10. Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,32 GB,DDR4,Yok,256 GB,3 Saat ve Altý,1.60 GHz,15.743 TL
1111,Lenovo,,,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Windows 11 Home,4.2 GHz,1920 x 1080,Yok,64 GB,DDR4,Yok,240 GB,3 Saat ve Altý,1.60 GHz,20.541 TL
1112,Lenovo,,,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Windows 11 Pro,4.2 GHz,1920 x 1080,Yok,32 GB,DDR4,Yok,240 GB,3 Saat ve Altý,1.60 GHz,18.336 TL
1113,Lenovo,,,"9,9",Notebook,3200 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10. Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,3 Saat ve Altý,1.60 GHz,13.858 TL
1114,Lenovo,,,"9,9",Notebook,3200 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10. Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,32 GB,DDR4,Yok,512 GB,3 Saat ve Altý,1.60 GHz,16.298 TL
1115,Lenovo,,,"9,9",Notebook,3200 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10. Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Yok,32 GB,DDR4,Yok,256 GB,3 Saat ve Altý,1.60 GHz,18.220 TL
1116,Lenovo,,,"9,9",Notebook,3200 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10. Nesil,Intel Core i5,Windows 10 Home,4.2 GHz,1920 x 1080,Yok,32 GB,DDR4,Yok,1 TB,3 Saat ve Altý,1.60 GHz,19.148 TL
1117,Lenovo,,,"9,9",Notebook,2933 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,10.Nesil,Intel Core i5,Windows 11 Home,4.5 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,500 GB,,2.50 GHz,19.042 TL
1118,Lenovo,,,"9,9",Notebook,2933 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,10.Nesil,Intel Core i5,Windows 11 Home,4.5 GHz,1920 x 1080,Var,24 GB,DDR4,Yok,512 GB,,2.50 GHz,20.397 TL
1119,Lenovo,,,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i7,Windows 11 Pro,4.7 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,2.8 GHz,23.686 TL
1120,Lenovo,,,"9,9",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,GDDR4,10.Nesil,Intel Core i5,Windows 10 Pro,3.4 GHz,1920 x 1080,Var,32 GB,DDR4,Yok,512 GB,4 - 6 Saat,2.2 GHz,18.444 TL
1121,Lenovo,,,"9,9",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,GDDR4,10.Nesil,Intel Core i5,Windows 10 Pro,3.4 GHz,1920 x 1080,Var,32 GB,DDR4,Yok,512 GB,4 - 6 Saat,2.2 GHz,18.444 TL
1122,Lenovo,,,"9,9",Notebook,2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,10.Nesil,Intel Core i7,Windows 10 Pro,5 GHz,1920 x 1080,Var,16 GB,DDR4,1 TB,512 GB,4 - 6 Saat,2.6 GHz,56.952 TL
1123,Lenovo,,,"9,9",Notebook,2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,10.Nesil,Intel Core i7,Windows 10 Pro,5 GHz,1920 x 1080,Var,16 GB,DDR4,Yok,1 TB,4 - 6 Saat,2.6 GHz,55.582 TL
1124,Lenovo,,,"9,9",Notebook,2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,10.Nesil,Intel Core i7,Windows 10 Pro,5 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,512 GB,4 - 6 Saat,2.6 GHz,53.530 TL
1125,Lenovo,,,"9,9",Notebook,3200 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i7,Yok (Free Dos),4.7 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,512 GB,3 Saat ve Altý,2.8 GHz,22.516 TL
1126,Lenovo,,,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i7,Windows 10 Pro,4.7 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,,2.8 GHz,28.323 TL
1127,Lenovo,,,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i7,Windows 11 Home,4.7 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,2.8 GHz,23.640 TL
1128,Fujitsu,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Yok (Free Dos),3.6 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,2 TB,4 - 6 Saat,1 GHz,11.255 TL
1129,Lenovo,,,"9,7",Notebook,3200 MHz,Var,2 - 4 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,512 GB,3 Saat ve Altý,2.4 GHz,15.930 TL
1130,Fujitsu,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Windows 10 Pro,3.6 GHz,1920 x 1080,Yok,24 GB,DDR4,Yok,2 TB,4 - 6 Saat,1 GHz,13.958 TL
1131,Lenovo,,,"9,7",Notebook,3200 MHz,Var,2 - 4 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Var,32 GB,DDR4,Yok,2 TB,3 Saat ve Altý,2.4 GHz,22.288 TL
1132,Fujitsu,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Windows 10 Home,3.6 GHz,1920 x 1080,Yok,32 GB,DDR4,Yok,512 GB,4 - 6 Saat,1 GHz,12.296 TL
1133,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Var,12 GB,DDR4,1 TB,256 GB,4 - 6 Saat,2.4 GHz,16.749 TL
1134,Lenovo,,,"9,7",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i7,Windows 10 Home,4.8 GHz,1920 x 1080,Yok,64 GB,DDR4,2 TB,256 GB,,3.3 GHz,28.093 TL
1135,Lenovo,,,"9,7",Notebook,3200 MHz,Var,2 - 4 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Var,16 GB,DDR4,Yok,1 TB,3 Saat ve Altý,2.4 GHz,17.525 TL
1136,Lenovo,,,"9,7",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,1 TB,4 - 6 Saat,2.4 GHz,17.791 TL
1137,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1947 x 1080,Var,8 GB,DDR4,Yok,256 GB,6 Saat ve Üstü,2.4 GHz,19.807 TL
1138,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Var,16 GB,DDR4,Yok,1 TB,4 - 6 Saat,2.4 GHz,22.089 TL
